Date,MonthYear,,Attack Name,Network,Type of attack,Type of Protocol,Losses in USD,Deplorer Adress,Attacker,Attacker Smart Contracts,Attacked Protocol Addresses,Exploit is happening during smart contract creation,Forta Detected,Detected For Protocol,AlertId,Time of Alert,ExploitTxHash,Time of Exploit Tx,Diff,Diff in sec,Detected Early or During Exploit,Super Early,Alert id - Beta,Time of Beta/beta alt or Lean AD,DIff with exploit in secs,prod vs beta/lean -diff in secs,Time to Detect Comment,Victim,Status,Victim Comment,Comment,Indication of performance issue,Github Issue,Bullet points,ProtocolContracts,MatchingAlertHashesForProtocolContracts_TPs,MatchingAlertHashesForProtocolContracts_FPs,FP Count,MEV FrontRun,Hyperlink,# of TX to any protocol address where a new contract is created (60days prior to attack),,Funded by,Funder exploit contract
3/6/2023,20233,,PeopleDAO,Mainnet,,,,,0x6e5cc01c94ffab8a1db9e70a8cac19767f239443,,,,FN,,,,0x4bd2f6981b6b3005da8730bc14bfbbf36bd9faab6b5976012830c6235ea0afcf,Mar-06-2023 01:04:47 PM +UTC,,,,,,,,,,,,,,,,,,,,,,,,,,
3/13/2023,20233,,Euler,Mainnet,,,,,0xB2698C2D99aD2c302a95A8DB26B08D17a77cedd4,,,,TP,,,"Mon, 13 Mar 2023 08:59:59 GMT",0xa476fad72c8f4ee15fd2d75ecda4701d8f3ac74431aa453521f13a01c8688142,Mar-13-2023 08:54:23 AM +UTC,264,264,,,,,,,,No Victim,,,,,,,,,,,,,,,,
3/9/2023,20233,,SushiSwap  ,Mainnet,,,,,0xe7bcf916e255d8eff168f7bd032be02e760aa2fc,,,,FN,,,,,,,,,,,,,,,,,,Idenified as MEV,,,,,,,,,,,,,
3/15/2023,20233,,Poolz Finance,BSC,,,,,0x190Cd736F5825ff0Ae0141B5C9cb7Fcd042cef2a ,,,,FN,,,,0x39718b03ae346dfe0210b1057cf9f0c378d9ab943512264f06249ae14030c5d5,,,,,,,,,,,,,,Idenified as MEV,,,,,,,,,,,,,
3/17/2023,20233,,Para.space,Mainnet,,,,,0x21B7A2c0F7C0C29c0Bbc55f5620Dc797c29c46B3,,,,FN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/29/2023,20233,,Safemoon,BSC,,,,,0x286e09932b8d096cba3423d12965042736b8f850,,,,FN,,,,0x48e52a12cb297354a2a1c54cbc897cf3772328e7e71f51c9889bb8c5e533a934,,,,,,,,,,,,,,Idenified as MEV,,,,,,,,,,,,,
3/17/2023,20233,,Anji Eco Hack,BSC,,,,,0xc578d755cd56255d3ff6e92e1b6371ba945e3984,,,,FN,,,,,,,,,,,,,,,,,,pos rep; thousands of tx,,,,,,,,,,,,,
3/19/2023,20233,,Thunder Lands,Polygon,,,,,0x9b62d31d90511b7343da090959107f6bf4c29417,,,,FN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/22/2023,20233,,Nuwa,BSC,,,,,0x286e09932b8d096cba3423d12965042736b8f850,,,,FN,,,,,,,,,,,,,,,,,,Idenified as MEV,,,,,,,,,,,,,
3/22/2023,20233,,ASKACR Token,BSC,,,,,0x190cd736f5825ff0ae0141b5c9cb7fcd042cef2a,,,,FN,,,,,,,,,,,,,,,,,,Idenified as MEV,,,,,,,,,,,,,
3/29/2023,20233,,UMNS,BSC,,,,,0xca357e19078356376a8a0235d8ac885f6c620354,,,,FN,,,,0x5feb28c35ddda566cf224714f7f721d093ab1de964ea0420f025dd44d953a344,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/29/2023,20233,,UF DAO,BSC,,,,,0xc578d755cd56255d3ff6e92e1b6371ba945e3984,,,,FN,,,,,,,,,,,,,,,,,,Pos Rep,,,,,,,,,,,,,
4/1/2023,20234,,Allbridge,BSC,,,,,"0x2b3cff12c02625518deb0af14684999fb6e3e360,0xc578d755cd56255d3ff6e92e1b6371ba945e3984",,,,TP,,ATTACK-DETECTOR-2,"Sun, 02 Apr 2023 00:18:00 GMT",0x30b1aa3d20d8446e2f9a8b3da7620d1bf2eed1cb2844a28cee413b4932203ff4,Apr-02-2023 12:12:38 AM +UTC,5 min 22 sec,322,,,,,,,,No Victim,,,,,,,,,,,,,,,,
4/10/2023,20234,,Sushiswap,Mainnet,,,,,"0x719cdb61e217de6754ee8fc958f2866d61d565cf,0xdd39ca368240ebaacf292ad2624c9b0ef7e9eea6",,,,TP,,ATTACK-DETECTOR-2,"Sun, 09 Apr 2023 08:42:06 GMT",0xea3480f1f1d1f0b32283f8f282ce16403fe22ede35c0b71a732193e56c5c45e8,Apr-09-2023 02:35:23 AM +UTC,6 hours 7 min,21960,,,,,,,,Yes,,,,,,,,,,,,,,,,
4/12/2023,20234,,MetaPoint,BSC,,,,,"0x341722ba06a760d24b487e68dc93679339a0cc2f,0x554364b2407d1f25A2F4b8020D8E9236722FCA40,0x0D1969A30bB4BA02e731862edBCed5F5abBa8373",,,,FN (beta detected - see link in the comment),,ATTACK-DETECTOR-2,"Tue, 11 Apr 2023 20:25:43 GMT",0x170008739b53f717edb0507e9b57b170f82fe109b0514d2b7e2e1114515454bb,2023-04-11 20:07:15,17 min 32 sec,1052,,,,,,,,No Victim,,,perf issue; detected by beta,,,,,,,,,,,,,
4/13/2023,20234,,Yearn,Mainnet,,,,,"0x5bac20beef31d0eccb369a33514831ed8e9cdfe0,0x16af29b7efbf019ef30aae9023a5140c012374a5,0x6f4a6262d06272c8b2e00ce75e76d84b9d6f6ab8",,,,TP,,ATTACK-DETECTOR-2,"Thu, 13 Apr 2023 05:53:17 GMT",0xd979fba826f3931f0be8dd3a4119d4c0ff6e0834d1f3b64d41970503af3c00af,2023-04-13 5:45:11,8 min 6 sec,486,,,,,,,,Yes,,,with attribution,,,,,,,,,,,,,
4/15/2023,20234,,0x0Audits,Mainnet,,,,,0xcb81b2601fcde7ef06f01b3b2fdd4486225b8923,,,,FN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/16/2023,20234,,Swapos,Mainnet,,,,,0x2df07C054138Bf29348F35a12a22550230BD1405 ,,,,FN (beta detected - see link in the comment),,ATTACK-DETECTOR-2,"Sun, 16 Apr 2023 05:44:36 GMT",0xbe643ccdcae57181b9fef554d63029e0605b2e860172d442c37eaabffdb44575,2023-04-16 5:32:47,11 min 11 sec,671,,,,,,,,Yes,,,with attribution. perf issue; detected by beta,,,,,,,,,,,,,
4/17/2023,20234,,DeFiGeek,Mainnet,,,,,0xDBDf5f801da11d65fE9B1D449CBEd6EBE2f04Fd3,,,,FN (beta detected - see link in the comment),,ATTACK-DETECTOR-2,"Sun, 16 Apr 2023 10:12:31 GMT",0xf9b673551de378a94ed484124085364055c2251881aabdd323b9be5394e8a766,2023-04-16 10:03:35,10 min 56 sec,656,,,,,,,,No Victim,,,perf issue; detected by beta,,,,,,,,,,,,,
4/19/2023,20234,,OceanLife,BSC,,,,,0xfb8ef8de849079559801bff8848178640cdd41b7,,,,FN (beta detected - see link in the comment),,ATTACK-DETECTOR-2,"Tue, 18 Apr 2023 19:35:57 GMT",0xa21692ffb561767a74a4cbd1b78ad48151d710efab723b1efa5f1e0147caab0a,2023-04-19 1:04:41,4 hours 29 min,16140,,,,,,,,No Victim,,,perf issue; detected by beta,,,,,,,,,,,,,
4/20/2023,20234,,Unlock Protocol,Mainnet,,,,,0x43ee4169d9ff5e5b10ca42923b1e5d07a157bb71 ,,,,FN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/18/2023,20234,,Hundred Finance,Mainnet/OP,,,,,0x155da45d374a286d383839b1ef27567a15e67528 ,,,,TP,,ATTACK-DETECTOR-2,"Sat, 15 Apr 2023 14:13:12 GMT",0x6e9ebcdebbabda04fa9f2e3bc21ea8b2e4fb4bf4f4670cb8483e2f0b2604f451,2023-04-15 14:12:00,1 min 12 sec,72,,,,,,,,No Victim,,,,,,,,,,,,,,,,
4/20/2023,20234,,Elastic,BSC,,,,,0xa31f00e0bb9be004ebc09056b924817edeca2b23,,,,FN,,,,,,,,,,,,,,,,,,FP mitigated,,,,,,,,,,,,,
4/28/2023,20234,,ForTube,Mainnet,,,,,0x3bfe2a46f0050c76ea95b65abfa826bbfb27596d ,,,,FN (beta detected - see link in the comment),,ATTACK-DETECTOR-2,"ri, 28 Apr 2023 09:21:34 GMT",0x4b4fa751b2cb82ff9aa53406f48e83a44babb7c60d2354e13905efa7a2ddffe7,Apr-28-2023 09:22:47 AM +UTC,1 min 13 sec,73,,,,,,,,No Victim,,,perf issue; detected by beta,,,,,,,,,,,,,
4/28/2023,20234,,0vix,Polygon,,,,,"0x702ef63881b5241ffb412199547bcd0c6910a970,0xBEF0a2A4885EA5Df895047F49c202525B73DCc68",,,,FN (beta detected - see link in the comment),,ATTACK-DETECTOR-3,"Fri, 28 Apr 2023 16:45:30 GMT",0x10f2c28f5d6cd8d7b56210b4d5e0cece27e45a30808cd3d3443c05d4275bb008,2023-04-28 10:45:16,6 hours,21600,,,,,,,,No Victim,,,perf issue; detected by beta,,,,,,,,,,,,,
5/2/2023,20235,,Level Finance,BSC,,,,,0x70319d1c09e1373fc7b10403c852909e5b20a9d5,,,,FN,,,,,,,,,,,,,,,,,,Based on base bots there should have been an alert; funding missing; funded by diff account,,,,"0xA5aBFB56a78D2BD4689b25B8A77fd49Bb0675874,0xB5C42F84Ab3f786bCA9761240546AA9cEC1f8821,0x4265af66537F7BE1Ca60Ca6070D97531EC571BDd,0xcC5368f152453D497061CB1fB578D2d3C54bD0A0,0xBD8638C1fF477275E49aaAe3E4691b74AE76BeCd,0xf584A17dF21Afd9de84F47842ECEAF6042b1Bb5b,0x04Db83667F5d59FF61fA6BbBD894824B233b3693,0xe423BB0a8b925EABF625A8f36B468ab009a854e7,0x6cd4c40016F10E1609f16fB4a84CAe4700a4DaD6,0x8826C45DAB800697C48ea87322Ac0a6Ed70cE4A4,0x3d54A363bC92a2da545f39a0F09dE62a2cC7E62d,0x6023C6afa26a68E05672F111FdbB1De93cBAc621,0x360071D15cce5542E6B7209752eA479b84b28625,0xa0E6B7aE9F4D284df33D41B1355aC28CBDC64F8c,0x8f886b4b10344289cEAd777953f95FA0317bcD33,0x6442b001c5AcCE8cb71986ad65B22684821A927A,0x4D91cf959C86888df1ed20877b27Fa0C7BC08147,0xB64E280e9D1B5DbEc4AcceDb2257A87b400DB149,0x9a1409a1b7826A80B6C6D33f85a342Cd9448FB54,0x92A0A11A57C28d4C86a629530fd59B83B1276003,0x804bbb7a06c0934571aAD137360215ef1335e6A1,0xBe2B6C5E31F292009f495DDBda88e28391C9815E,0x87CC04d6FE59859cB7eB6d970EBc22dCdCBc9368,0xB07953F23545796710957faec97F05B21146AC2d,0x8BFf27E9Fa1C28934554e6B5239Fb52776573619,0x63B487204A76bA4962d384Dc41F7B06e880c8d80,0x4385d6E60AE5f53E63d0A69Af4434A249014DCB2,0x31A3CDCC3a04fd8a1888e33E38b9D2bb72D6b1dc,0x4aa34261769BA17FAA10B99BaCF63Baca4238205,0x8e532B2dBa81C4474e1ee2e0a35cd25347f2ad3B,0x1Ab33A7454427814a71F128109fE5B498Aa21E5d,0x5aE081b6647aEF897dEc738642089D4BDa93C0e7,0xe5f3b669fd58AF914111759da054f3029734678C,0x08A12FFedf49fa5f149C73B07E31f99249e40869,0x95883611685a20936EC935B0A33F82e11D478e3D,0x22E7F559bE09B6A758F02A84dDC64f45642206a1,0x977087422C008233615b572fBC3F209Ed300063a,0x4980c82cF6A4bf0A3265985d4bC01120A0C6bb22,0xf1fe97ceA2cd0bA34A73e26635C77C410030fE8e,0x2Ed6ceD074B2E822d3Afc1949A4433Bf4654A43A,0x712A2e08C67cD7153f04FdB3037d4696300921d0,0xc31bcCd2106Dae0b27c2C7E1385E12cEF4512f5E,0xD463EeC58D1Eb7F94865e2F2c09f097f7EB0B895,0x30f00859A0b4893b8201cb6478434EB8dDb9195a,0xe3197276dC213F62d49b0Ee77E61b6a927609eAe,0xC0717eb8ad66d0b3BF16Bbe0bAC0fb605a715A35,0x4a46649eC023DF2DCF18Ee381281408b3432428b,0xD804Ea7306abE2456Bdd04a31F6f6a2F55Dc0d21,0x9c1A19038dF30636e15e67303d9ed3474d76e015,0x03D5c199c4Abf2451D7b64b73A8078fC5a05eBa9,0xA5aBFB56a78D2BD4689b25B8A77fd49Bb0675874",#REF!,,,,,,,,
5/2/2023,20235,,NeverFall,BSC,,,,,0x53b757db8b9f3375d71eafe53e411a16acde75ee,,,,FN (beta detected - see link in the comment),,,2023-05-02 16:45:22 (UTC),0xccf513fa8a8ed762487a0dcfa54aa65c74285de1bc517bd68dbafa2813e4b7cb,"Tue, 02 May 2023 17:00:02 GMT",14min 40 sec,880,,,,,,,,Yes,,,perf issue; detected by beta,,,,"0x5ABDe8B434133C98c36F4B21476791D95D888bF5,0x97a08A9Fb303b4f6F26C5B3C3002EBd0E6417d2c",#REF!,,,,,,,,
5/5/2023,20235,,DeusDAO,Arb/Mainnet,,,,,0x189cf534de3097c08b6beaf6eb2b9179dab122d1,,,,FN,,,,,,,,,,,,,,,,,,likely miss due to arb/mainnet split of alerts; already fixed,,,,"0xBC1b62dB243B51dabCd9540473324f36E094EC55, 0xDE1E704dae0B4051e80DAbB26ab6ad6c12262DA0",#REF!,,,,,,,,
5/5/2023,20235,,DeusDAO,BSC,,,,,0x5a647e376d3835b8f941c143af3eb3ddf286c474,,,,FN,,,,,,,,,,,,,,,,,,,,,,"0xDE1E704dae0B4051e80DAbB26ab6ad6c12262DA0,0x5929dbBc11711D2B9e9ca0752393C70De74261F5,0x1472b3081d81B792E697aEA90ACCbbc4AdC5bAF9",#REF!,,,,,,,,
5/6/2023,20235,,Block Forest,BSC,,,,,0x2d2bcd3caed4b51b7090c78cfd73ea091a4b44de ,,,,FN (beta detected - see link in the comment),,,May-06-2023 04:24:13 PM +UTC,0x5a89e083e8e3ad75c38be65a6a92d7e32249cf9b5ceb304bf1ae2409241993ff,"Fri, 21 Apr 2023 05:43:36 GMT",1 hour 19 min,1296000,,,,,,,,No Victim,,,perf issue; detected by beta,,,,"0x538107874AEEAE2E0685B517a1A86dD5238c38b1,0x97a22Ab59234Ba7dd11d5c72E206Ed19F045B06c,0xC4e83B0EF81B4C7CAb394f1C0D4A39bf8bc4e248,0xb6576CB02dc030e819b59C57a5819Df638cB09ab",#REF!,,,,,,,,
5/6/2023,20235,,Floki Ino,Mainnet,,,,,0x662d2dc484d65a3ba4da80e36eaa9a400af0726b ,,,,FN,,,,,,,,,,,,,,,,,,"mulichain funding; no funding alert, but other high precisition bots?",,,,"0xb1F4b66104353eC63D8d59D3da42C0b4Fb06E7f3,0x30Ac70e2dc5092f64031685bb23D50f782C27566,",#REF!,,,,,,,,
5/9/2023,20235,,Weeb,Mainnet,,,,,0xe9ba23Db4CAB47621d72B7A51EF166992A025B16,,,,FN,,,,,,,,,,,,,,,,,,binance funding; no funding alert,,,,"0x9E3D5B091e7728080D9b2E1AAF20EE63db6b65BB,0x2E38EB45e9d7b253A1c2Dc8e611B2c70e460AEDb",#REF!,,,,,,,,
5/10/2023,20235,,Trust Trident,BSC,,,,,0xa3aa817587556C023e78B2285D381C68CEe17069,,,,TP,,ATTACK-DETECTOR-2,"Sat, 13 May 2023 23:19:01 GMT",0xfe80df5d689137810df01e83b4bb51409f13c865e37b23059ecc6b3d32347136,2023-05-13 23:17:25,1min 36 sec,96,,,,,,,,No Victim,,,,,,,"0xeaF83465025b4Bf9020fdF9ea5fB6e71dC8a0779,0xa645995e9801F2ca6e2361eDF4c2A138362BADe4,0x61f834516504fC02b3cd80D41722df08fD030141,0x358EfC593134f99833C66894cCeCD41F550051b6",#REF!,,,,,,,,
5/10/2023,20235,,Snooker,BSC,,,,,0x6b67f9e79180e08cb42132754bc9f88558b1e535,,,,FN,,,,,,,,,,,,,,,,,,TC didnt trigger as this wasnt a new account when TC funds were deposited,,,,"0xA3f5ea945c4970f48E322f1e70F4CC08e70039ee,0x7957096Bd7324357172B765C4b0996Bb164ebfd4,0x05e2899179003d7c328de3C224e9dF2827406509",#REF!,,,,,,,,
5/12/2023,20235,,LW Token,BSC,,,,,0xffc21396bc3c981f057b4ec993edb2a305ef8a62,,,,FN,,,,,,,,,,,,,,,,,,,,,,0xD7aa5ae820dE27b7Ad8b2d2D92781B68943086bD,#REF!,,,,,,,,
5/13/2023,20235,,BitPaid,BSC,,,,,0x878a36edfb757e8640ff78b612f839b63adc2e51,,,,FN,,,,,,,,,,,,,,,,,,,,,,"0x858DE6F832c9b92E2EA5C18582551ccd6add0295,0x40F75eD09c7Bc89Bf596cE0fF6FB2ff8D02aC019",#REF!,,,,,,,,
5/14/2023,20235,,LandNFT,BSC,,,,,0x96b89c2560bcc43c342c12ba9c33dab7eb571a90,,,,TP,,ATTACK-DETECTOR-2,"Sun, 14 May 2023 15:48:12 GMT",0xe4db1550e3aa78a05e93bfd8fbe21b6eba5cce50dc06688949ab479ebed18048,May-14-2023 4:39:50 PM,- 49min,-2940,,,,,,,,,,,,,,,0x1a62fe088F46561bE92BB5F6e83266289b94C154,#REF!,,,,,,,,
5/20/2023,20235,,Tornado Cash DAO,Mainnet,,,,,"0x092123663804f8801b9b086b03b98d706f77bd59,0x592340957ebc9e4afb0e9af221d06fdddf789de9",,,,FN (beta detected - see link in the comment),,,May-20-2023 07:34:35 AM +UTC,,"Sun, 21 May 2023 12:54:35 GMT",29 hours and 20 min,105600,,,,,,,,Yes,,,perf issue?,,,,"0x12d66f87a04a9e220743712ce6d9bb1b5616b8fc,0x47ce0c6ed5b0ce3d3a51fdb1c52dc66a7c3c2936,0x910cbd523d972eb0a6f4cae4618ad62622b39dbf,0xa160cdab225685da1d56aa342ad8841c3b53f291,0xd4b88df4d29f5cedd6857912842cff3b20c8cfa3,0xfd8610d20aa15b7b2e3be39b396a1bc3516c7144,0x07687e702b410Fa43f4cB4Af7FA097918ffD2730,0x23773E65ed146A459791799d01336DB287f25334,0x22aaA7720ddd5388A3c0A3333430953C68f1849b,0x03893a7c7463AE47D46bc7f091665f1893656003,0x2717c5e28cf931547B621a5dddb772Ab6A35B701,0xD21be7248e0197Ee08E0c20D4a96DEBdaC3D20Af,0x4736dCf1b7A3d580672CcE6E7c65cd5cc9cFBa9D,0xd96f2B1c14Db8458374d9Aca76E26c3D18364307,0x169AD27A470D064DEDE56a2D3ff727986b15D52B,0x0836222F2B2B24A3F36f98668Ed8F0B38D1a872f,0x178169B423a011fff22B9e3F3abeA13414dDD0F1,0x610B717796ad172B316836AC95a2ffad065CeaB4,0xbB93e510BbCD0B7beb5A853875f9eC60275CF498,0xca0840578f57fe71599d29375e16783424023357,0x3f615ba21bc6cc5d4a6d798c5950cc5c42937fbd,0x5efda50f22d34f262c29268506c5fa42cb56a1ce,0x2f50508a8a3d323b91336fa3ea6ae50e55f32185,0xCEe71753C9820f063b38FDbE4cFDAf1d3D928A80,0xffbac21a641dcfe4552920138d90f3638b3c9fba,0x179f48c78f57a3a78f0608cc9197b8972921d1d2,0xb04E030140b30C27bcdfaafFFA98C57d80eDa7B4,0x77777feddddffc19ff86db637967013e6c6a116c,0x3efa30704d2b8bbac821307230376556cf8cc39e,0x746aebc06d2ae31b71ac51429a19d54e797878e9,0xd90e2f925DA726b50C4Ed8D0Fb90Ad053324F31b,0x5f6c97C6AD7bdd0AE7E0Dd4ca33A4ED3fDabD4D7,0xf4B067dD14e95Bab89Be928c07Cb22E3c94E0DAA,0x58E8dCC13BE9780fC42E8723D8EaD4CF46943dF2,0x01e2919679362dFBC9ee1644Ba9C6da6D6245BB1,0x2FC93484614a34f26F7970CBB94615bA109BB4bf,0x26903a5a198D571422b2b4EA08b56a37cbD68c89,0xB20c66C4DE72433F3cE747b58B86830c459CA911,0x2573BAc39EBe2901B4389CD468F2872cF7767FAF,0x527653ea119f3e6a1f5bd18fbf4714081d7b31ce,0x653477c392c16b0765603074f157314cc4f40c32,0x88fd245fedec4a936e700f9173454d1931b4c307,0x09193888b3f38c82dedfda55259a82c0e7de875e,0x5cab7692d4e94096462119ab7bf57319726eed2a,0x756c4628e57f7e7f8a459ec2752968360cf4d1aa,0x722122df12d4e14e13ac3b6895a86e84145b6967,0x94a1b5cdb22c43faab4abeb5c74999895464ddaf,0xb541fc07bc7619fd4062a54d96268525cbc6ffef,0x94c92f096437ab9958fc0a37f09348f30389ae79,0xd82ed8786d7c69dc7e052f7a542ab047971e73d2,0xdd4c48c0b24039969fc16d1cdf626eab821d3384",#REF!,,,,,,,,
5/29/2023,20235,,Jimbo's Protocol,Arb,,,,,0x102be4bccc2696c35fd5f5bfe54c1dfba416a741,,,,FN,,,,,,,,,,,,,,,,,,,,,,"0x271944d9D8CA831F7c0dBCb20C4ee482376d6DE7,0xC3813645Ad2Ea0AC9D4d72D77c3755ac3B819e38,                                                                       ",#REF!,,,,,,,,
5/22/2023,20235,,LunaFI,Polygon,,,,,0x11576cb3d8d6328cf319e85b10e09a228e84a8de,,,,FN,,,,,,,,,,,,,,,,,,,,,,"0xE6E5f921C8CD480030EFb16166C3f83ABC85298D,0xfc604b6fD73a1bc60d31be111F798dd0D4137812,0x77D97db5615dFE8a2D16b38EAa3f8f34524a0a74,0x58edA02E51dBBFD5190F779573BB3eFBD41AFc68,0x14e849B39CA7De7197763b6254EE57eDBE0F3375,0x1311DCADf3330dD0AEB4d03177F9568880Febb34,0x07244afb53Ad824366a19Cb3c972030064555E75,0x2Bb91032F277BDc0DA7De271Ba03B3341B73b4c1",#REF!,,,,,,,,
5/23/2023,20235,,CSToken,BSC,,,,,0x2cdeee9698ffc9fcabc116b820c24e89184027ba,,,,TP,,ATTACK-DETECTOR-2,"Tue, 23 May 2023 15:44:37 GMT",0x906394b2ee093720955a7d55bff1666f6cf6239e46bea8af99d6352b9687baa4,May-23-2023 04:43:30 PM +UTC,- 58min,-3480,,,,,,,,No Victim,,,,,,,"0x8BC6Ce23E5e2c4f0A96429E3C9d482d74171215e,0x6BC2823De2c3718D3669C2E7036E1D888C4107a1,",#REF!,,,,,,,,
